model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
Tree,0.031603240966796876,0.016949558258056642,-0.874885489785228,-8.953384428678119,0.9887451737451739
Ensemble_sk 10,0.14057979583740235,0.019477128982543945,-0.2610864662126769,-8.467254889843167,0.3189391891891894
MLP_sk 10,3.4509426593780517,0.00668950080871582,-7.329063676054803,-4.664926584849416,5.989786815271199
FONN1_sk 5 10,5.736902952194214,0.011349153518676759,-0.42812237515073226,-8.06446993518842,0.40421858275558903
FONN2_sk 5 10,8.660815143585205,0.003395366668701172,-5.632461679875017,-7.211815709960433,6.495730587973655
MLP_sk_target_standard 10,2.845843029022217,0.00872507095336914,-0.5959649829935181,-6.065964722508222,0.6898000032181584
FONN1_sk_target_standard 5 10,1.8294370651245118,0.023628759384155273,-0.17513221834612103,-5.919063308760401,0.41276464509427185
FONN2_sk_target_standard 5 10,3.7051158428192137,0.008317136764526367,-1.631096997870161,-4.9861913184763065,8.95706855818994
FONN1_TrANN 5 10,10.836265468597412,0.046235275268554685,-6.5408872752120555,-6.8820380047640315,6.576071044567709
FONN2_TrANN 5 10,8.144922637939453,0.01784090995788574,-1.4374658582919122,-8.701605836096748,1.5289001241626146
FONN3_TrANN 5 10,10.573943185806275,0.017304229736328124,-1.5633408538409859,-14.431162580709435,1.5088424218536578
TREENN1_TrANN 10,3.938314199447632,0.0040590763092041016,-6.378218499913883,-6.870044813000798,6.576071018619281
TREENN2_TrANN 10,3.508129930496216,0.01094503402709961,-1.3814782874153948,-8.54141299721678,1.4842064700276068
TREENN3_TrANN 10,3.902634334564209,0.006596136093139649,-3.056639992152507,-8.407966298338502,3.0577318362364267
