model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
Tree,0.035396146774291995,0.004126787185668945,-9.388287813225768,-31.937710929916523,6.3387944664031615
Ensemble_sk 10,0.0891653060913086,0.012366628646850586,-2.2876679310597727,-20.755198648806058,1.8869911067193674
MLP_sk_drop_identity 10,1.387761402130127,0.002767515182495117,-67.31831255531162,-74.71404221130187,35.39531021814478
FONN1_sk_drop_identity 5 10,3.1468438148498534,0.01729435920715332,-3.158611563870748,-22.525325429386346,5.900948969697191
FONN2_sk_drop_identity 5 10,4.651751899719239,0.011899232864379883,-48.48619046982084,-45.256396231572595,56.46579665378353
TREENN1_sk_drop_identity 10,1.2812607765197754,0.0030941486358642576,-12.066846607000869,-33.68175528564203,46.49011891752761
TREENN2_sk_drop_identity 10,1.8998533725738525,0.00747523307800293,-64.78071078833551,-101.06792428500461,51.128180725585246
FONN1_TrANN_drop_identity 5 10,22.580260515213013,0.012485456466674805,-47.24411217022864,-68.99638528643925,76.9216393392613
FONN2_TrANN_drop_identity 5 10,6.451937866210938,0.009513521194458007,-7.221543506112906,-31.35641281402488,7.045013095289568
FONN3_TrANN_drop_identity 5 10,14.755385446548463,0.006428861618041992,-34.35372955807655,-50.878491370879246,42.35728402074412
TREENN1_TrANN_drop_identity 10,4.512683010101318,0.006024694442749024,-60.74585395705824,-71.90850471380682,63.082805434961024
TREENN2_TrANN_drop_identity 10,3.2029953479766844,0.0035347938537597656,-5.9015728723537615,-37.63911025323154,6.840163081277563
TREENN3_TrANN_drop_identity 10,7.57352352142334,0.004099655151367188,-50.477683076292664,-66.3488788790074,45.46423020663264
