,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.40161786511057007,0.47547082347276487,0.42836389462329066,0.00039386749267578125,6.079673767089844e-05
Ridge Regression,0.40299959270565067,0.47457071854773186,0.42737475711495476,0.0003757476806640625,5.602836608886719e-05
Lasso Regression,-0.04459063895569182,0.7085015261540775,0.7477912328929659,0.0003769397735595703,5.817413330078125e-05
ElasticNet Regression,0.11770201524572133,0.6391470757637193,0.6316107699930927,0.0003294944763183594,5.269050598144531e-05
Bayesian Ridge Regression,0.406905174637322,0.4719610233746094,0.4245788676833122,0.000911712646484375,7.319450378417969e-05
ARD Regression,0.40832295081689374,0.4728295110860541,0.4235639240702351,0.0007183551788330078,5.888938903808594e-05
SGD Regressor,0.4096323979634433,0.472874463748989,0.42262652997573563,0.00040984153747558594,5.245208740234375e-05
Passive Aggressive Regressor,0.062385516304298116,0.5435467868529278,0.6712101990901056,0.00031280517578125,4.792213439941406e-05
Support Vector Regression,0.6368954056094256,0.3845029467392844,0.25993573193407216,0.002296924591064453,0.0004780292510986328
MLP Regressor,0.7000023576784246,0.3460270855252989,0.21475935017080838,0.12335872650146484,0.0001347064971923828
Random Forest Regressor,0.6935482007473952,0.32885529109074113,0.21937968830974114,0.1006321907043457,0.002735614776611328
Gradient Boosting Regressor,0.6702908664456169,0.3381219707505882,0.23602891915936625,0.058480262756347656,0.0003266334533691406
XGBoost Regressor,0.6414141896580621,0.3637754763462492,0.25670086942536247,0.0294797420501709,0.0006420612335205078
AdaBoost Regressor,0.6126790309933026,0.37896382528826744,0.2772715110948853,0.04567670822143555,0.0034208297729492188
Bagging Regressor,0.6115510344883255,0.3567244552013016,0.2780790100956413,0.015781641006469727,0.0008308887481689453
ExtraTrees Regressor,0.6486586368546854,0.3558351424780149,0.25151478609399464,0.057806968688964844,0.005843162536621094
HistGradientBoosting Regressor,0.6551013054858146,0.36378775250348966,0.24690267208576516,0.0752105712890625,0.0011968612670898438
Stacking Regressor,0.5761724137823401,0.3742661690624865,0.3034055077772883,0.07213258743286133,0.000545501708984375
Voting Regressor,0.6226446169349649,0.35349891073872275,0.2701374458257704,0.051656484603881836,0.0008287429809570312
Custom MLP,0.44026424634053585,0.46067116768892696,0.4006981048018355,0.5119273662567139,1.1682510375976562e-05
FONN1,0.3767856135848048,0.47067848766020465,0.44614056166534316,6.185718059539795,0.0004622936248779297
Tree-based Predictions (FONN1),0.49366986321717243,0.4258096965079402,0.3624666190903468,0.005630970001220703,0.0006823539733886719
TREENN1,0.4788817269294592,0.4443493801402193,0.37305300408594055,1.2254056930541992,9.322166442871094e-05
Tree-based Predictions (TREENN1),0.5099294989286185,0.4214482005269249,0.35082683161608,0.0007996559143066406,0.0001971721649169922
FONN2,0.5644889014736922,0.4033081611240657,0.31176938521212566,3.324568510055542,0.0005340576171875
Tree-based Predictions (FONN2),0.49366986321717243,0.4258096965079402,0.3624666190903468,0.00652003288269043,0.0010161399841308594
TREENN2,0.5748570258778649,0.4219832411898824,0.3043471546829157,0.9242324829101562,7.677078247070312e-05
Tree-based Predictions (TREENN2),0.5099294989286185,0.4214482005269249,0.35082683161608,0.0006561279296875,0.0001666545867919922
Ensemble of 10 Trees,0.49366986321717243,0.4258096965079402,0.3624666190903468,0.005543708801269531,0.000659942626953125
