,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.04496264211748613,0.8241685753500635,1.0658347335782452,0.0005795955657958984,6.747245788574219e-05
Ridge Regression,0.044860636547253696,0.8242496899017534,1.0659485731876333,0.0007519721984863281,6.747245788574219e-05
Lasso Regression,-0.0002798749092076669,0.8498843738908191,1.116326000420906,0.0005271434783935547,6.556510925292969e-05
ElasticNet Regression,-0.0002798749092076669,0.8498843738908191,1.116326000420906,0.00040030479431152344,5.91278076171875e-05
Bayesian Ridge Regression,0.016467808458222155,0.8416845838807337,1.097635357073137,0.0013713836669921875,0.00010633468627929688
ARD Regression,0.03227107821519892,0.8336136532227025,1.0799986922117353,0.0011374950408935547,6.031990051269531e-05
SGD Regressor,0.04468452907423037,0.8249099847626342,1.0661451115324863,0.0003902912139892578,5.555152893066406e-05
Passive Aggressive Regressor,-2.8094697333712646,1.5585379396963106,4.251420245323675,0.0003745555877685547,6.246566772460938e-05
Support Vector Regression,-0.05339084321618115,0.7524193893175741,1.1755985663455042,0.002111196517944336,0.0005068778991699219
MLP Regressor,0.11893982111069346,0.7503372652266608,0.9832751915746593,0.08239197731018066,0.00012373924255371094
Random Forest Regressor,-0.35152809257937223,0.9137037159899655,1.5083238080567904,0.0703277587890625,0.002282857894897461
Gradient Boosting Regressor,-0.11392714418662586,0.8281195358290818,1.243157904924366,0.02888345718383789,0.0002570152282714844
XGBoost Regressor,-0.8884736021276973,1.0335422567165335,2.1075623293480974,0.10431671142578125,0.0007467269897460938
AdaBoost Regressor,0.041473795580540984,0.8481059836737782,1.069728333957863,0.01226949691772461,0.0008122920989990234
Bagging Regressor,-0.45167890693373414,0.9249488880903862,1.6200934845558297,0.012463092803955078,0.001590728759765625
ExtraTrees Regressor,-0.6201876827448982,0.9827294702531443,1.808151579550667,0.05804252624511719,0.0031418800354003906
HistGradientBoosting Regressor,0.08684389072265264,0.7749329821231735,1.0190946881961638,0.05554509162902832,0.0011320114135742188
Stacking Regressor,0.013871578672393636,0.814161853608496,1.1005327849687554,0.06537508964538574,0.0006711483001708984
Voting Regressor,-0.013216175136272268,0.7998313163177321,1.1307630881350157,0.03892159461975098,0.0007781982421875
Custom MLP,0.00624281108974134,0.8005193061959783,1.1090465937709728,0.45007824897766113,1.2159347534179688e-05
FONN1,-0.031191079402162813,0.7819566796437915,1.1508233267646406,6.177608489990234,0.0005145072937011719
Tree-based Predictions (FONN1),-0.04593774340103729,0.771535234171821,1.1672808051707806,0.004271745681762695,0.0007228851318359375
TREENN1,-0.5249000229124492,1.0081440912832085,1.7018092499102946,1.3462657928466797,8.320808410644531e-05
Tree-based Predictions (TREENN1),-0.04610875124014591,0.7721582944023276,1.1674716522545432,0.0004954338073730469,0.000171661376953125
FONN2,-0.0785981512380518,0.7926194352526629,1.2037302663339569,3.4973316192626953,0.0005893707275390625
Tree-based Predictions (FONN2),-0.04593774340103729,0.771535234171821,1.1672808051707806,0.004920005798339844,0.0008625984191894531
TREENN2,0.14799338714869636,0.7457411763588172,0.9508510151149335,0.8662641048431396,8.630752563476562e-05
Tree-based Predictions (TREENN2),-0.04610875124014591,0.7721582944023276,1.1674716522545432,0.0005540847778320312,0.00018095970153808594
Ensemble of 10 Trees,-0.04593774340103729,0.771535234171821,1.1672808051707806,0.004071235656738281,0.0007109642028808594
