,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5359433267413711,0.4534059115286684,0.36272630274883255,0.0007970333099365234,0.00010061264038085938
Ridge Regression,0.5354689300551698,0.4536377048600542,0.36309711124257477,0.0004093647003173828,5.5789947509765625e-05
Lasso Regression,-0.023142578036039252,0.6922730297870145,0.799731467947424,0.00037407875061035156,5.5789947509765625e-05
ElasticNet Regression,0.25796117138762775,0.5751645943208561,0.5800089004401265,0.000331878662109375,5.459785461425781e-05
Bayesian Ridge Regression,0.5343373331580747,0.45414415490851684,0.3639816151886189,0.0008084774017333984,8.749961853027344e-05
ARD Regression,0.5444790756124656,0.44691634512229544,0.35605440078594647,0.0011820793151855469,6.914138793945312e-05
SGD Regressor,0.5151623773826595,0.46531284442795395,0.37896957078668964,0.0003895759582519531,5.340576171875e-05
Passive Aggressive Regressor,-1.9838702388590885,1.2961918600427527,2.3323190506527376,0.0003864765167236328,4.9114227294921875e-05
Support Vector Regression,0.5524180494077935,0.43394924611708224,0.3498489634367151,0.0021419525146484375,0.0005185604095458984
MLP Regressor,0.6038582190348467,0.39722076705282655,0.3096411534496903,0.17840099334716797,0.00013327598571777344
Random Forest Regressor,0.5805967235369589,0.3897353546419422,0.3278233211558641,0.10324358940124512,0.002772092819213867
Gradient Boosting Regressor,0.5318541891802027,0.4254425766456885,0.3659225454374219,0.05128002166748047,0.00033664703369140625
XGBoost Regressor,0.5600345882415348,0.41876325920680396,0.3438955548767089,0.04450535774230957,0.000789642333984375
AdaBoost Regressor,0.6457063095572955,0.3996320121258539,0.2769309177672341,0.05059814453125,0.0034253597259521484
Bagging Regressor,0.5521111334558823,0.3958350791701515,0.35008886191228206,0.016169309616088867,0.0009732246398925781
ExtraTrees Regressor,0.5815567805281023,0.393128482106119,0.3270729000480707,0.0640556812286377,0.00475001335144043
HistGradientBoosting Regressor,0.46864938488346997,0.43515782111133966,0.41532609095165746,0.07221531867980957,0.0010864734649658203
Stacking Regressor,0.5792881741056327,0.40653991454561267,0.3288461386791119,0.07549571990966797,0.0007026195526123047
Voting Regressor,0.5815871594044756,0.4031338409754795,0.32704915463475476,0.060666799545288086,0.0007946491241455078
Custom MLP,0.5497680182034519,0.4426677002412941,0.35192033979290455,0.4728727340698242,1.8835067749023438e-05
FONN1,0.5420541989099122,0.46938371599534995,0.3579497868705007,6.263673543930054,0.0005435943603515625
Tree-based Predictions (FONN1),0.5491717333300463,0.4599464484866252,0.3523864212436823,0.006425619125366211,0.0007798671722412109
TREENN1,0.4604709702274824,0.4915321701176306,0.42171868539423296,1.2629377841949463,8.463859558105469e-05
Tree-based Predictions (TREENN1),0.4883629676174318,0.47861965819614477,0.3999171217651762,0.0006952285766601562,0.00018215179443359375
FONN2,0.5110476457848004,0.46848997769196266,0.382185818855734,3.403148651123047,0.0006759166717529297
Tree-based Predictions (FONN2),0.5491717333300463,0.4599464484866252,0.3523864212436823,0.007428884506225586,0.0011496543884277344
TREENN2,-0.42437722174123826,0.7083725638105992,1.1133534180940612,0.9184551239013672,8.130073547363281e-05
Tree-based Predictions (TREENN2),0.4883629676174318,0.47861965819614477,0.3999171217651762,0.0006737709045410156,0.0001742839813232422
Ensemble of 10 Trees,0.5491717333300463,0.4599464484866252,0.3523864212436823,0.0055389404296875,0.0007088184356689453
