,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.4917339390209876,0.47786822509352944,0.479553386317533,0.00044846534729003906,6.532669067382812e-05
Ridge Regression,0.4920849954012415,0.47771564730259924,0.4792221616128678,0.0003495216369628906,4.8160552978515625e-05
Lasso Regression,-0.017970446701353726,0.7604250919899742,0.9604638443623404,0.00043702125549316406,7.319450378417969e-05
ElasticNet Regression,0.13053051851794528,0.6921833046639666,0.8203519104567679,0.000331878662109375,5.0067901611328125e-05
Bayesian Ridge Regression,0.4930946646514681,0.47756728128924525,0.4782695300185523,0.0008146762847900391,8.034706115722656e-05
ARD Regression,0.4882823818502805,0.4778733620922313,0.48280996010113947,0.0008232593536376953,6.794929504394531e-05
SGD Regressor,0.49305341023222116,0.47942626465564536,0.47830845391682003,0.0004353523254394531,5.698204040527344e-05
Passive Aggressive Regressor,0.021637911099121276,0.7045924522294186,0.9230930191824971,0.0003771781921386719,5.4836273193359375e-05
Support Vector Regression,0.4073929201103744,0.5469010254574201,0.5591298607847625,0.002256631851196289,0.0005357265472412109
MLP Regressor,0.45021832470587675,0.5096279388778401,0.5187237243714173,0.060930490493774414,0.0001480579376220703
Random Forest Regressor,0.36559696938458286,0.556059503284178,0.5985646986456791,0.10331225395202637,0.0026748180389404297
Gradient Boosting Regressor,0.36818746533751545,0.567450903536544,0.5961205435036303,0.051268577575683594,0.0002911090850830078
XGBoost Regressor,0.24793270048117688,0.623074232092917,0.7095819451887945,0.10545516014099121,0.0006670951843261719
AdaBoost Regressor,0.30910217467694345,0.5857455474707592,0.6518680218287728,0.04974651336669922,0.00356292724609375
Bagging Regressor,0.3020288396748113,0.5715694608903796,0.658541774048815,0.015943050384521484,0.0009889602661132812
ExtraTrees Regressor,0.3835595478424205,0.5555065458153865,0.5816168518627199,0.06679987907409668,0.0031363964080810547
HistGradientBoosting Regressor,0.4330512271217336,0.520403373023088,0.5349210281297324,0.06196188926696777,0.0015854835510253906
Stacking Regressor,0.5052318071117232,0.47462764916460126,0.4668180320455764,0.07251286506652832,0.0006954669952392578
Voting Regressor,0.41634165445848825,0.5251350448642716,0.5506866532024423,0.06830096244812012,0.001058816909790039
Custom MLP,0.23541497009254675,0.6437146273823621,0.7213925311352862,0.4933755397796631,1.8596649169921875e-05
FONN1,0.15681183001216714,0.6566271899078439,0.7955552677306261,6.206751108169556,0.0005695819854736328
Tree-based Predictions (FONN1),0.09362578764422669,0.6705627037124625,0.8551718404507948,0.006713151931762695,0.0008382797241210938
TREENN1,0.06587480469738705,0.6991191726254153,0.8813551307931862,1.2144734859466553,8.320808410644531e-05
Tree-based Predictions (TREENN1),0.09362578764422669,0.6705627037124625,0.8551718404507948,0.0007219314575195312,0.00019216537475585938
FONN2,-0.07329078422643742,0.7400976065326119,1.0126590571241034,3.412466526031494,0.00063323974609375
Tree-based Predictions (FONN2),0.09362578764422669,0.6705627037124625,0.8551718404507948,0.007330894470214844,0.0010671615600585938
TREENN2,0.15725983713947334,0.7018893539770353,0.7951325691648784,1.0090179443359375,9.822845458984375e-05
Tree-based Predictions (TREENN2),0.09362578764422669,0.6705627037124625,0.8551718404507948,0.0008442401885986328,0.00023365020751953125
Ensemble of 10 Trees,0.09362578764422669,0.6705627037124625,0.8551718404507948,0.007215738296508789,0.0009415149688720703
