,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.38534077283124746,0.4978670465867489,0.37075973320582045,0.0003833770751953125,5.412101745605469e-05
Ridge Regression,0.38574217230306707,0.497863743684161,0.3705176108158804,0.0003867149353027344,5.030632019042969e-05
Lasso Regression,-0.014501003890824204,0.6573728249534642,0.6119425283374654,0.0003478527069091797,5.14984130859375e-05
ElasticNet Regression,0.23897243229090726,0.5645604148211829,0.45904847026502393,0.0003399848937988281,5.4836273193359375e-05
Bayesian Ridge Regression,0.38626680254437473,0.49786308287942677,0.37020115616962884,0.0009033679962158203,6.890296936035156e-05
ARD Regression,0.3863695368491198,0.4973739412023901,0.3701391872903951,0.0008449554443359375,6.031990051269531e-05
SGD Regressor,0.3875802896326114,0.49822229052277733,0.3694088665547034,0.00041365623474121094,5.364418029785156e-05
Passive Aggressive Regressor,-1.670439173918513,1.1041579805804624,1.610797124489556,0.0002951622009277344,4.7206878662109375e-05
Support Vector Regression,0.3631020031413734,0.48183869419515085,0.38417406093831485,0.001918792724609375,0.0004887580871582031
MLP Regressor,0.37317392165884467,0.49921336394673893,0.3780987241381025,0.08521914482116699,0.00018072128295898438
Random Forest Regressor,0.2530831337669339,0.524126928149718,0.4505369574082222,0.09696555137634277,0.0027091503143310547
Gradient Boosting Regressor,0.31717082942900054,0.49855216920963136,0.4118795422175444,0.048302412033081055,0.0002448558807373047
XGBoost Regressor,0.17947632618463782,0.5218782142904316,0.49493625889930964,0.066314697265625,0.0007870197296142578
AdaBoost Regressor,0.3303303624903279,0.5253102747923467,0.4039417699507801,0.022069215774536133,0.001729726791381836
Bagging Regressor,0.2768629638349144,0.5192062000093391,0.4361930688566824,0.017560482025146484,0.0014646053314208984
ExtraTrees Regressor,0.2936044114749331,0.4988444190970038,0.4260947015238051,0.07585287094116211,0.0049855709075927734
HistGradientBoosting Regressor,0.13419936791787568,0.5491886127387896,0.5222471203089393,0.08015918731689453,0.0008106231689453125
Stacking Regressor,0.3498656913372359,0.5003473873939425,0.3921581458039013,0.0684659481048584,0.0006947517395019531
Voting Regressor,0.368790442317938,0.4949575479690689,0.3807428195313074,0.06087231636047363,0.0010051727294921875
Custom MLP,0.27819258397693103,0.5125130945234575,0.43539104785491545,0.5416064262390137,1.5735626220703125e-05
FONN1,0.23716581736406983,0.5531965598745512,0.46013821241591496,6.500720024108887,0.0006532669067382812
Tree-based Predictions (FONN1),0.184659262040617,0.5367841739512631,0.4918099348643853,0.00600123405456543,0.000850677490234375
TREENN1,-0.16427694547836924,0.6384392159795039,0.7022867153098722,1.2205438613891602,9.274482727050781e-05
Tree-based Predictions (TREENN1),0.18230839247198327,0.5392747811083601,0.49322796901329596,0.0006310939788818359,0.00019025802612304688
FONN2,0.15743531917048847,0.5447474337654553,0.508231297058576,3.5525805950164795,0.00047016143798828125
Tree-based Predictions (FONN2),0.184659262040617,0.5367841739512631,0.4918099348643853,0.004780292510986328,0.0006887912750244141
TREENN2,0.25900899191245785,0.5405545708412877,0.4469625059269191,0.8657374382019043,0.00010395050048828125
Tree-based Predictions (TREENN2),0.18230839247198327,0.5392747811083601,0.49322796901329596,0.0008115768432617188,0.0002143383026123047
Ensemble of 10 Trees,0.184659262040617,0.5367841739512631,0.4918099348643853,0.005693674087524414,0.0007548332214355469
