,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.3050065758023579,0.6461074576010042,0.7288461874636525,0.0007822513580322266,7.081031799316406e-05
Ridge Regression,0.3045917307327526,0.6460914175938292,0.7292812394178764,0.0003859996795654297,5.221366882324219e-05
Lasso Regression,-0.0024794677253410224,0.748387088300922,1.0513097140533856,0.00037598609924316406,5.4836273193359375e-05
ElasticNet Regression,-0.0024794677253410224,0.748387088300922,1.0513097140533856,0.0004811286926269531,5.888938903808594e-05
Bayesian Ridge Regression,0.296600246918981,0.646537022897725,0.7376619841948061,0.0007283687591552734,5.555152893066406e-05
ARD Regression,0.3004545520259645,0.6462990684513952,0.733619937918196,0.001035451889038086,6.866455078125e-05
SGD Regressor,0.3044716715473982,0.6457078359883502,0.7294071466228496,0.0003876686096191406,5.316734313964844e-05
Passive Aggressive Regressor,-0.8831772107743507,1.086357682484688,1.9749057798293586,0.0003170967102050781,4.792213439941406e-05
Support Vector Regression,0.37985015153931145,0.6105935858127551,0.6503570206128984,0.0020694732666015625,0.0005254745483398438
MLP Regressor,0.3248487811800417,0.6424083747000556,0.7080374787235781,0.05767393112182617,0.00014543533325195312
Random Forest Regressor,0.4823832632723095,0.5754615430581766,0.5428295750666964,0.09898090362548828,0.0023775100708007812
Gradient Boosting Regressor,0.39737988622812526,0.6072194266302383,0.6319734217897274,0.03998160362243652,0.00023746490478515625
XGBoost Regressor,0.4275140633589831,0.5847624450974787,0.6003714247786962,0.09906721115112305,0.0006697177886962891
AdaBoost Regressor,0.3273946168199735,0.6541207166771729,0.7053676367718855,0.05183148384094238,0.0036857128143310547
Bagging Regressor,0.43005878607296033,0.5842160271416541,0.5977027499629947,0.016865253448486328,0.002093076705932617
ExtraTrees Regressor,0.37167600006876444,0.6059136820617251,0.6589293306918557,0.07601475715637207,0.004657268524169922
HistGradientBoosting Regressor,0.3677363700730205,0.6376822272575443,0.6630608579875713,0.0762028694152832,0.0008356571197509766
Stacking Regressor,0.34755229210538974,0.6205539306960883,0.6842280917512008,0.056349754333496094,0.000560760498046875
Voting Regressor,0.45270908647334374,0.5735784518976417,0.5739491653721984,0.05148053169250488,0.0008161067962646484
Custom MLP,0.3233303660371154,0.6534193197055177,0.7096298550675509,0.4997889995574951,1.6927719116210938e-05
FONN1,0.23333628815515606,0.6782993385163515,0.80400749703488,6.508556127548218,0.0005247592926025391
Tree-based Predictions (FONN1),0.23219661483698661,0.6740920969994036,0.8052026832394987,0.0052678585052490234,0.0007131099700927734
TREENN1,0.026379882788410858,0.8061405239211589,1.0210446397918431,1.3374931812286377,8.368492126464844e-05
Tree-based Predictions (TREENN1),0.17837535077696154,0.6864833986985642,0.8616455526952942,0.0006592273712158203,0.000186920166015625
FONN2,0.16716628094993535,0.7035453969423021,0.8734006104037518,3.398043155670166,0.0005359649658203125
Tree-based Predictions (FONN2),0.23219661483698661,0.6740920969994036,0.8052026832394987,0.005756378173828125,0.001004934310913086
TREENN2,0.16507491499656657,0.7057605997407176,0.8755938456900625,0.960801362991333,7.772445678710938e-05
Tree-based Predictions (TREENN2),0.17837535077696154,0.6864833986985642,0.8616455526952942,0.0006480216979980469,0.0001723766326904297
Ensemble of 10 Trees,0.23219661483698661,0.6740920969994036,0.8052026832394987,0.004988908767700195,0.0007159709930419922
