,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5977170085300889,0.37286205229443337,0.552952784441456,0.0004074573516845703,6.246566772460938e-05
Ridge Regression,0.5975377556316803,0.3723744807331887,0.5531991741506804,0.00038814544677734375,5.1975250244140625e-05
Lasso Regression,-3.428191127796687e-05,0.7367190226849785,1.3745839432565543,0.0003914833068847656,5.7697296142578125e-05
ElasticNet Regression,0.15217859089311814,0.6456020825308493,1.1653617448795213,0.00036907196044921875,6.556510925292969e-05
Bayesian Ridge Regression,0.5965860171495987,0.37067803900097884,0.5545073737387471,0.0007250308990478516,6.604194641113281e-05
ARD Regression,0.5929536166396784,0.37402801028694915,0.5595002419900941,0.0011475086212158203,7.319450378417969e-05
SGD Regressor,0.6004545471044371,0.36896861577861495,0.5491899368707182,0.0004317760467529297,5.936622619628906e-05
Passive Aggressive Regressor,0.10542288912639242,0.5628040819513052,1.2296291785732947,0.0003848075866699219,5.507469177246094e-05
Support Vector Regression,0.3885060097329581,0.3821148783168397,0.840521005752409,0.002202272415161133,0.000469207763671875
MLP Regressor,0.694187722984323,0.3271620751952566,0.42035023522700526,0.23238778114318848,0.00015878677368164062
Random Forest Regressor,0.6108466385053766,0.4163209770360464,0.5349056245876586,0.1170198917388916,0.0028738975524902344
Gradient Boosting Regressor,0.4741216512841575,0.43001449744158776,0.7228391539433244,0.047507286071777344,0.00031280517578125
XGBoost Regressor,0.530584975090015,0.40696571649598234,0.6452282363074897,0.026149749755859375,0.0011210441589355469
AdaBoost Regressor,0.6297929988451793,0.4075816900696017,0.5088631546670563,0.01757335662841797,0.0011513233184814453
Bagging Regressor,0.619868331318882,0.42447403031873465,0.5225049756231688,0.015344381332397461,0.0010669231414794922
ExtraTrees Regressor,0.5702527639509725,0.4203279578100393,0.5907033998903309,0.0732567310333252,0.0045926570892333984
HistGradientBoosting Regressor,0.5409361687728408,0.38550857803774635,0.631000139443893,0.08587503433227539,0.0010750293731689453
Stacking Regressor,0.6379812641047717,0.36180593754664264,0.4976080825634782,0.058380842208862305,0.0006945133209228516
Voting Regressor,0.59847508911966,0.3790808459211995,0.5519107747574209,0.05209159851074219,0.0009191036224365234
Custom MLP,0.4511675287752268,0.3858138084899159,0.7543904405372367,0.4670999050140381,1.33514404296875e-05
FONN1,0.3757258262424341,0.5279356321535541,0.8580878385457525,6.3947436809539795,0.0005240440368652344
Tree-based Predictions (FONN1),0.5466064938294593,0.43839392762209506,0.6232060688636563,0.005751609802246094,0.0007915496826171875
TREENN1,0.24286760700678645,0.5694540386192005,1.0407063529250253,1.3421478271484375,8.130073547363281e-05
Tree-based Predictions (TREENN1),0.5402661908402722,0.44010767196966255,0.631921048781806,0.0006339550018310547,0.00018095970153808594
FONN2,0.6085456457664699,0.41723166755133556,0.5380684238333067,3.538715362548828,0.0005655288696289062
Tree-based Predictions (FONN2),0.5466064938294593,0.43839392762209506,0.6232060688636563,0.005866289138793945,0.0007882118225097656
TREENN2,0.3926066733030692,0.46140449738678735,0.8348844926826782,0.878373384475708,0.00013637542724609375
Tree-based Predictions (TREENN2),0.5402661908402722,0.44010767196966255,0.631921048781806,0.0009860992431640625,0.0002505779266357422
Ensemble of 10 Trees,0.5466064938294593,0.43839392762209506,0.6232060688636563,0.008111715316772461,0.0011188983917236328
