,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5511928123856454,0.4971683442668671,0.46973532003094354,0.00037550926208496094,5.4836273193359375e-05
Ridge Regression,0.5519858003915501,0.49661008655391603,0.46890535454684706,0.00038623809814453125,5.078315734863281e-05
Lasso Regression,-0.028837145282330612,0.7631950188589239,1.0768124019310177,0.00034618377685546875,5.841255187988281e-05
ElasticNet Regression,0.25239347364956,0.6313740824856108,0.7824678405422534,0.0003235340118408203,5.221366882324219e-05
Bayesian Ridge Regression,0.5530915276134694,0.4957904594366898,0.46774806664061713,0.0010197162628173828,7.104873657226562e-05
ARD Regression,0.5629827543928667,0.4938185123869199,0.4573956063749602,0.0011363029479980469,6.29425048828125e-05
SGD Regressor,0.5703274399567713,0.4878493414136448,0.4497084339786663,0.0003790855407714844,5.316734313964844e-05
Passive Aggressive Regressor,0.06759319526347118,0.8032998352692919,0.9758854601907326,0.0003521442413330078,4.9591064453125e-05
Support Vector Regression,0.6681706207490627,0.4310626363943478,0.3473027704539439,0.0022504329681396484,0.0005087852478027344
MLP Regressor,0.6628441666637699,0.42737524177277564,0.3528776000989074,0.09665703773498535,0.00012564659118652344
Random Forest Regressor,0.6157085311696293,0.47397904328722945,0.40221119687438345,0.10338401794433594,0.0030629634857177734
Gradient Boosting Regressor,0.6608987123285645,0.46124226238519384,0.3549137720675671,0.05479240417480469,0.0003485679626464844
XGBoost Regressor,0.5599233710400959,0.5005652153606037,0.46059765049985507,0.04559135437011719,0.0025043487548828125
AdaBoost Regressor,0.6035598707698662,0.46855859537545125,0.41492635616397483,0.0504152774810791,0.003373861312866211
Bagging Regressor,0.5908897452465465,0.4782028780648733,0.42818729679009254,0.016067028045654297,0.0010128021240234375
ExtraTrees Regressor,0.610578423727077,0.487303610080794,0.4075805241218586,0.07085776329040527,0.002928018569946289
HistGradientBoosting Regressor,0.5540752920200797,0.4853553657870677,0.46671842874459657,0.05878734588623047,0.0009038448333740234
Stacking Regressor,0.5992433669441087,0.4750711943117131,0.4194441409988942,0.07395339012145996,0.0006699562072753906
Voting Regressor,0.6284003179587079,0.4633613374109822,0.3889275849054614,0.06824946403503418,0.0015749931335449219
Custom MLP,0.5351773066816381,0.4883058475745825,0.4864976378033444,0.5355198383331299,2.1457672119140625e-05
FONN1,0.43852939289245974,0.5227232399170666,0.5876522983501192,6.416598320007324,0.0006356239318847656
Tree-based Predictions (FONN1),0.5629862343818153,0.47771861607894867,0.45739196411216326,0.0075838565826416016,0.00089263916015625
TREENN1,0.6129928518572693,0.47455166829467893,0.405053509845514,1.3436763286590576,8.249282836914062e-05
Tree-based Predictions (TREENN1),0.5527715901094307,0.4799988022026412,0.46808292301100723,0.0007681846618652344,0.00019049644470214844
FONN2,0.44485815892604086,0.5066494767604534,0.5810284183851226,3.495360851287842,0.0006394386291503906
Tree-based Predictions (FONN2),0.5629862343818153,0.47771861607894867,0.45739196411216326,0.007569551467895508,0.0011174678802490234
TREENN2,0.4309321478377075,0.5390457882735825,0.5956038072288361,0.9422714710235596,7.891654968261719e-05
Tree-based Predictions (TREENN2),0.5527715901094307,0.4799988022026412,0.46808292301100723,0.0006849765777587891,0.0001747608184814453
Ensemble of 10 Trees,0.5629862343818153,0.47771861607894867,0.45739196411216326,0.005537509918212891,0.0006835460662841797
