,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5009729536128141,0.5490864845835074,0.46336289886891363,0.00042247772216796875,5.435943603515625e-05
Ridge Regression,0.5005669812877092,0.5492674715077975,0.4637398574221285,0.00032901763916015625,5.14984130859375e-05
Lasso Regression,-0.002785908823985883,0.818236395818094,0.931119443367933,0.0004343986511230469,5.4836273193359375e-05
ElasticNet Regression,0.03591464916335585,0.8023951935347673,0.8951847122412644,0.00037932395935058594,4.8160552978515625e-05
Bayesian Ridge Regression,0.4975016565272897,0.5510805021023766,0.4665861115024345,0.0010881423950195312,7.176399230957031e-05
ARD Regression,0.4980789140575671,0.5521453681517813,0.4660501090461354,0.0007879734039306641,5.936622619628906e-05
SGD Regressor,0.4986139560783811,0.5494192514927935,0.4655533050681227,0.0004105567932128906,5.412101745605469e-05
Passive Aggressive Regressor,0.08827743333627691,0.6937670518545803,0.8465641582194553,0.00036334991455078125,5.1975250244140625e-05
Support Vector Regression,0.4665865743261165,0.5684110290949793,0.49529177427405097,0.0020902156829833984,0.0005140304565429688
MLP Regressor,0.5160468882279811,0.5379731987101855,0.44936625862423857,0.24616003036499023,0.00013875961303710938
Random Forest Regressor,0.2302274300072571,0.6966273268984847,0.7147589536156452,0.09600830078125,0.002629518508911133
Gradient Boosting Regressor,0.2689789366876023,0.6490456233917857,0.678776914964756,0.04138064384460449,0.00026726722717285156
XGBoost Regressor,0.11310144577528358,0.6972990489933483,0.8235142525107946,0.03015732765197754,0.0006127357482910156
AdaBoost Regressor,0.3414187712288762,0.6589255082838059,0.6115141644392346,0.05022311210632324,0.003906726837158203
Bagging Regressor,0.2862254755699394,0.6634803925006998,0.6627629407526755,0.02217268943786621,0.0010826587677001953
ExtraTrees Regressor,0.27049319816311146,0.662313109320329,0.6773708737651513,0.08188629150390625,0.0038754940032958984
HistGradientBoosting Regressor,0.3537560854484231,0.6166572333071267,0.6000585655445196,0.07468700408935547,0.0009076595306396484
Stacking Regressor,0.4618536169536577,0.5890473356612912,0.4996864796596664,0.08173823356628418,0.0008323192596435547
Voting Regressor,0.46414991386301574,0.5890624093891531,0.49755429303714355,0.06898736953735352,0.0013790130615234375
Custom MLP,0.47642154185922647,0.5447930583684425,0.4861596859445386,0.5464437007904053,1.71661376953125e-05
FONN1,-0.0633414880720855,0.7750779921481656,0.9873472749979546,6.246356248855591,0.0005168914794921875
Tree-based Predictions (FONN1),-0.32034141477689193,0.8570587750451868,1.2259800944196142,0.006299257278442383,0.0007557868957519531
TREENN1,-0.2931533716158241,0.7775604891883386,1.2007351090327678,1.2448735237121582,9.250640869140625e-05
Tree-based Predictions (TREENN1),-0.30988320218759635,0.8550866271351373,1.2162693027151432,0.0007653236389160156,0.0001895427703857422
FONN2,-0.2609871341123178,0.8332953780410669,1.1708677077301008,3.4522311687469482,0.0005357265472412109
Tree-based Predictions (FONN2),-0.32034141477689193,0.8570587750451868,1.2259800944196142,0.006539344787597656,0.0013191699981689453
TREENN2,-0.2652580244031868,0.832879044200524,1.1748333687503911,0.9564089775085449,8.368492126464844e-05
Tree-based Predictions (TREENN2),-0.30988320218759635,0.8550866271351373,1.2162693027151432,0.0006961822509765625,0.000164031982421875
Ensemble of 10 Trees,-0.32034141477689193,0.8570587750451868,1.2259800944196142,0.0059320926666259766,0.0007357597351074219
