,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5967922673122328,0.4619118253857821,0.4106206784166139,0.0004429817199707031,5.888938903808594e-05
Ridge Regression,0.5966821274561337,0.4616778943846257,0.41073284318619974,0.0003566741943359375,5.269050598144531e-05
Lasso Regression,-0.040473087123860774,0.7785637110395782,1.0596021114502558,0.0003383159637451172,5.030632019042969e-05
ElasticNet Regression,0.17582617459376593,0.6792565427673912,0.8393262030606664,0.0003197193145751953,5.626678466796875e-05
Bayesian Ridge Regression,0.5962099817203974,0.46085627320653316,0.411213669287989,0.000873565673828125,6.556510925292969e-05
ARD Regression,0.5961600912925157,0.46119785935537466,0.4112644769478687,0.0010747909545898438,6.771087646484375e-05
SGD Regressor,0.5980396218794031,0.4637767379307156,0.4093503913236972,0.00037789344787597656,5.054473876953125e-05
Passive Aggressive Regressor,0.09202893358511033,0.6988508970576077,0.9246640504353841,0.00035071372985839844,5.936622619628906e-05
Support Vector Regression,0.6188382943912376,0.4435774005252614,0.38816933668457915,0.0019621849060058594,0.0004639625549316406
MLP Regressor,0.6516901589799062,0.4406441673413997,0.35471349288235765,0.23319435119628906,0.00014543533325195312
Random Forest Regressor,0.6906655376533175,0.4348805256695322,0.31502155462081227,0.08633828163146973,0.0044536590576171875
Gradient Boosting Regressor,0.6926990469482159,0.4124556225243806,0.31295065940094235,0.04277467727661133,0.00025081634521484375
XGBoost Regressor,0.6233375519463018,0.4551895239095198,0.3835873605966796,0.03293156623840332,0.0007655620574951172
AdaBoost Regressor,0.6957266118792929,0.4280819461175515,0.30986743290212954,0.04970216751098633,0.003107309341430664
Bagging Regressor,0.7283295550423716,0.4117451658332359,0.27666508692835184,0.017657756805419922,0.0009615421295166016
ExtraTrees Regressor,0.6882609347359366,0.42098386907690794,0.31747036599324213,0.06412625312805176,0.003113985061645508
HistGradientBoosting Regressor,0.6457913140426048,0.4287773607506644,0.36072078766780946,0.06713271141052246,0.001062154769897461
Stacking Regressor,0.7399263415368682,0.4013826246899898,0.26485509433202853,0.06451153755187988,0.0005457401275634766
Voting Regressor,0.7343610650298805,0.4019146256402754,0.2705226880551007,0.06644558906555176,0.0008428096771240234
Custom MLP,0.5914809018846932,0.4573628440837944,0.4160296929229498,0.49297261238098145,1.4066696166992188e-05
FONN1,0.7477492634677602,0.3677801735281292,0.25688834853315634,6.489776134490967,0.0005645751953125
Tree-based Predictions (FONN1),0.7312537275727451,0.3555625904519736,0.27368715369223756,0.006575345993041992,0.0008690357208251953
TREENN1,0.6103819599494948,0.4486954044458324,0.39678114023864214,1.4733941555023193,0.0001010894775390625
Tree-based Predictions (TREENN1),0.7312537275727451,0.35556259045197347,0.27368715369223756,0.0008230209350585938,0.00020575523376464844
FONN2,0.6978122521952936,0.3770653076486113,0.30774344823601085,3.484405755996704,0.0005462169647216797
Tree-based Predictions (FONN2),0.7312537275727451,0.3555625904519736,0.27368715369223756,0.00629425048828125,0.0009534358978271484
TREENN2,0.7320890722231588,0.3707240491148926,0.2728364512893395,0.8641996383666992,0.00010204315185546875
Tree-based Predictions (TREENN2),0.7312537275727451,0.35556259045197347,0.27368715369223756,0.0008032321929931641,0.00020074844360351562
Ensemble of 10 Trees,0.7312537275727451,0.3555625904519736,0.27368715369223756,0.006943702697753906,0.0008642673492431641
