,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5293247512007218,0.5704805481841729,0.5589461353046064,0.0005652904510498047,6.914138793945312e-05
Ridge Regression,0.529600173842218,0.5702940929558722,0.5586190596373976,0.0009210109710693359,0.0001163482666015625
Lasso Regression,-0.0375520975623036,0.7145070919975973,1.2321356106765533,0.0006415843963623047,9.012222290039062e-05
ElasticNet Regression,0.1525961353975449,0.6610103200889955,1.0063267961721987,0.0007200241088867188,8.845329284667969e-05
Bayesian Ridge Regression,0.5304352094735736,0.5696541245459878,0.5576274206247693,0.001024007797241211,6.580352783203125e-05
ARD Regression,0.5261364835158318,0.5708922843296106,0.5627323337616783,0.0009307861328125,6.532669067382812e-05
SGD Regressor,0.5360767586748905,0.5672599901720429,0.5509278498883619,0.0003952980041503906,5.507469177246094e-05
Passive Aggressive Regressor,-0.8483615991849827,0.9190914835816976,2.1950051020219954,0.00032901763916015625,4.887580871582031e-05
Support Vector Regression,0.6913149142318797,0.46050330677359713,0.36657618210521536,0.002196073532104492,0.0005202293395996094
MLP Regressor,0.7373038791141733,0.42966695318558495,0.3119624027463194,0.25008416175842285,0.00014662742614746094
Random Forest Regressor,0.688650440629726,0.43997072522131625,0.36974035363610464,0.10073995590209961,0.0027387142181396484
Gradient Boosting Regressor,0.6505856408253907,0.4745761243519317,0.4149438624164232,0.04587697982788086,0.00028586387634277344
XGBoost Regressor,0.680589114168991,0.4551182399848862,0.3793135089744219,0.026217937469482422,0.0005526542663574219
AdaBoost Regressor,0.7274313327929877,0.42982807888418156,0.3236864558507045,0.056372642517089844,0.00494837760925293
Bagging Regressor,0.6500156821548826,0.47283350783800004,0.415620711681339,0.013695955276489258,0.0008440017700195312
ExtraTrees Regressor,0.6950160162954946,0.47105337356248117,0.36218097181934866,0.05702400207519531,0.0031540393829345703
HistGradientBoosting Regressor,0.6866572235279064,0.45794282206484405,0.3721073805803243,0.08342146873474121,0.0010726451873779297
Stacking Regressor,0.6796607464984761,0.4621899472339538,0.38041598360613427,0.07456302642822266,0.0005462169647216797
Voting Regressor,0.6776506965311417,0.4706587492087784,0.3828030002675728,0.047876596450805664,0.0008063316345214844
Custom MLP,0.4668138667805214,0.5641358397863264,0.6331803707998412,0.5228791236877441,1.71661376953125e-05
FONN1,0.6139095263686023,0.49661835515309105,0.4584982504704116,6.240558862686157,0.0004546642303466797
Tree-based Predictions (FONN1),0.6503507113342484,0.46594511544150163,0.4152228508091166,0.0051746368408203125,0.0007536411285400391
TREENN1,0.35103257514601094,0.6210277178782446,0.7706753966478722,1.3014545440673828,7.772445678710938e-05
Tree-based Predictions (TREENN1),0.6292952732262016,0.4779514243167093,0.4402270459259432,0.0006060600280761719,0.0001583099365234375
FONN2,0.6241915945033559,0.47911552413537345,0.44628787343970844,3.613964080810547,0.000457763671875
Tree-based Predictions (FONN2),0.6503507113342484,0.46594511544150163,0.4152228508091166,0.005282163619995117,0.0008275508880615234
TREENN2,0.38101831574751543,0.5861503011984224,0.7350661015633861,0.9278368949890137,0.00010037422180175781
Tree-based Predictions (TREENN2),0.6292952732262016,0.4779514243167093,0.4402270459259432,0.0008492469787597656,0.00023031234741210938
Ensemble of 10 Trees,0.6503507113342484,0.46594511544150163,0.4152228508091166,0.0067174434661865234,0.0009210109710693359
