,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.6556654909522839,0.42575252579483913,0.33145906425372695,0.0007655620574951172,8.344650268554688e-05
Ridge Regression,0.6563171813227661,0.4248187134975059,0.33083174205770144,0.0003829002380371094,5.4836273193359375e-05
Lasso Regression,-0.0040845297952056825,0.7691397069574739,0.9665395420226174,0.00037479400634765625,6.127357482910156e-05
ElasticNet Regression,0.2651679162606668,0.6576104266223239,0.7073550528916155,0.0003650188446044922,5.316734313964844e-05
Bayesian Ridge Regression,0.6570564894065652,0.4237822557575356,0.3301200783724989,0.0008435249328613281,6.389617919921875e-05
ARD Regression,0.6571349025293903,0.424938671931753,0.3300445972933916,0.0008227825164794922,6.008148193359375e-05
SGD Regressor,0.6525251780461065,0.4271263515573349,0.3344819537695763,0.0004146099090576172,5.435943603515625e-05
Passive Aggressive Regressor,0.2837530894786594,0.6926785521378649,0.6894648212652071,0.0003292560577392578,4.839897155761719e-05
Support Vector Regression,0.6562747764782122,0.4129508337469399,0.33087256128936804,0.0022041797637939453,0.00048828125
MLP Regressor,0.6668139779668385,0.40608880826532656,0.3207274443417157,0.06799125671386719,0.00018668174743652344
Random Forest Regressor,0.5994854870798427,0.4413368902260647,0.38553837092800997,0.07942628860473633,0.0025262832641601562
Gradient Boosting Regressor,0.4801325580508299,0.458327359433858,0.5004284244440111,0.04924273490905762,0.00026679039001464844
XGBoost Regressor,0.4745321682505915,0.502860092254405,0.5058194030240462,0.12532448768615723,0.0007312297821044922
AdaBoost Regressor,0.5991906836871055,0.48559295496768223,0.3858221509562324,0.044301748275756836,0.003824472427368164
Bagging Regressor,0.593928247997272,0.45449082629038573,0.39088781229314445,0.015237092971801758,0.00093841552734375
ExtraTrees Regressor,0.5599372307304216,0.43233944584977013,0.4236078286733245,0.061777591705322266,0.0028014183044433594
HistGradientBoosting Regressor,0.6629635913698262,0.4264343755619987,0.3244338562897668,0.05949544906616211,0.0010836124420166016
Stacking Regressor,0.6597573955038666,0.40684919754653803,0.3275201652527697,0.06097555160522461,0.0006823539733886719
Voting Regressor,0.6229106902149844,0.41077131843009584,0.3629890890317491,0.06403994560241699,0.0008928775787353516
Custom MLP,0.6228580478025085,0.4277041152106648,0.3630397630255569,0.45215344429016113,1.2874603271484375e-05
FONN1,0.1241150610403795,0.6636023686730732,0.8431336233605837,6.333311319351196,0.0005376338958740234
Tree-based Predictions (FONN1),0.17454019115065067,0.5593457109763539,0.794594002724109,0.006037712097167969,0.0008938312530517578
TREENN1,0.2273902746216564,0.6223046899566271,0.7437201032085555,1.3016877174377441,0.00010180473327636719
Tree-based Predictions (TREENN1),0.17346907270992007,0.5582937187405166,0.7956250696277758,0.0007915496826171875,0.00020551681518554688
FONN2,-0.36086739934316125,0.7405291555690432,1.3099814944693213,3.5286474227905273,0.0006439685821533203
Tree-based Predictions (FONN2),0.17454019115065067,0.5593457109763539,0.794594002724109,0.006636619567871094,0.0009222030639648438
TREENN2,0.6790165698290034,0.42687912409095813,0.3089811349424947,0.9919741153717041,9.942054748535156e-05
Tree-based Predictions (TREENN2),0.17346907270992007,0.5582937187405166,0.7956250696277758,0.000766754150390625,0.0002028942108154297
Ensemble of 10 Trees,0.17454019115065067,0.5593457109763539,0.794594002724109,0.006533622741699219,0.0008814334869384766
