,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5239577524605001,0.3279113756561125,0.27281032442681996,0.0008175373077392578,7.486343383789062e-05
Ridge Regression,0.5251024482223132,0.3276729581683825,0.27215432209979046,0.0003921985626220703,5.698204040527344e-05
Lasso Regression,-0.01616691755952515,0.6127538039572743,0.5823450079989236,0.0004062652587890625,5.91278076171875e-05
ElasticNet Regression,0.4031823034776091,0.45279558956762395,0.3420243271547677,0.0003821849822998047,5.936622619628906e-05
Bayesian Ridge Regression,0.527058129044229,0.3272583648963053,0.2710335603979462,0.0011057853698730469,0.0001227855682373047
ARD Regression,0.5271443876934058,0.3263873714296394,0.2709841272852589,0.0016791820526123047,9.584426879882812e-05
SGD Regressor,0.5258581717120056,0.33114303195145056,0.27172123202960125,0.0006873607635498047,9.1552734375e-05
Passive Aggressive Regressor,0.4110320559336096,0.3983786390287148,0.3375257904697143,0.0005438327789306641,8.726119995117188e-05
Support Vector Regression,0.6845435868680617,0.23053747236231634,0.180781783242682,0.0023500919342041016,0.00046539306640625
MLP Regressor,0.6868778550372107,0.2243513917655811,0.17944406067747648,0.1663188934326172,0.00015497207641601562
Random Forest Regressor,0.6790166408080547,0.24530864599314253,0.18394916587628934,0.09017157554626465,0.002964496612548828
Gradient Boosting Regressor,0.6617484458035457,0.23632068609343346,0.1938452242740365,0.051900386810302734,0.000286102294921875
XGBoost Regressor,0.6844693810837734,0.23679622920614551,0.1808243090987182,0.13465571403503418,0.0006566047668457031
AdaBoost Regressor,0.690414853757448,0.28889210216572053,0.17741707720415537,0.04905891418457031,0.0029802322387695312
Bagging Regressor,0.6526124347025184,0.25434480624615025,0.19908089015310637,0.014634132385253906,0.0010313987731933594
ExtraTrees Regressor,0.7018955277645902,0.22131513931852909,0.17083773174329453,0.0767817497253418,0.0028901100158691406
HistGradientBoosting Regressor,0.4203281074965237,0.28688188218515875,0.3321984085915825,0.08081507682800293,0.0015974044799804688
Stacking Regressor,0.6549045904472677,0.25531721479471603,0.1977673013790134,0.05625629425048828,0.0006122589111328125
Voting Regressor,0.6630113407502354,0.24887711503123738,0.19312148434989287,0.048449039459228516,0.0009469985961914062
Custom MLP,0.6763938503094928,0.2543746805987045,0.18545223483816103,0.49831652641296387,2.0742416381835938e-05
FONN1,0.620701902498945,0.27145105852668605,0.2173681801742867,6.3687732219696045,0.000606536865234375
Tree-based Predictions (FONN1),0.6841487812284619,0.23399217732707997,0.18100803848616395,0.006196260452270508,0.0009119510650634766
TREENN1,0.21678512890259682,0.45242042943667543,0.44884483296256844,1.3285565376281738,8.654594421386719e-05
Tree-based Predictions (TREENN1),0.6915266527411935,0.23397973048968443,0.17677992736499568,0.0006594657897949219,0.00018906593322753906
FONN2,0.29393314733510045,0.47329317884121186,0.4046328411777191,3.5121471881866455,0.0006124973297119141
Tree-based Predictions (FONN2),0.6841487812284619,0.23399217732707997,0.18100803848616395,0.0065402984619140625,0.0010941028594970703
TREENN2,-0.03849293248778607,0.5360010398045834,0.5951396021913886,0.8955221176147461,0.00010418891906738281
Tree-based Predictions (TREENN2),0.6915266527411935,0.23397973048968443,0.17677992736499568,0.0007579326629638672,0.0002193450927734375
Ensemble of 10 Trees,0.6841487812284619,0.23399217732707997,0.18100803848616395,0.006132841110229492,0.0008571147918701172
