,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.5473800975356498,0.5755065924194693,0.7006946074656087,0.0004811286926269531,6.723403930664062e-05
Ridge Regression,0.5472996260442476,0.5751954576371056,0.700819184267851,0.0003859996795654297,6.151199340820312e-05
Lasso Regression,-0.04474496652954252,0.8267370827836545,1.6173552250759602,0.0003814697265625,5.793571472167969e-05
ElasticNet Regression,0.014746150018574267,0.7966512577458886,1.525257850810239,0.0003833770751953125,5.364418029785156e-05
Bayesian Ridge Regression,0.546954997094444,0.5741481107939903,0.7013526995759256,0.0012295246124267578,0.0001285076141357422
ARD Regression,0.5451463055634607,0.5757866731866269,0.7041527099056273,0.0014607906341552734,9.512901306152344e-05
SGD Regressor,0.5526292209688879,0.5723722214264509,0.6925685121181311,0.0006260871887207031,8.58306884765625e-05
Passive Aggressive Regressor,-0.141374520044677,1.0208229616560573,1.7669460996734312,0.0005242824554443359,0.00011897087097167969
Support Vector Regression,0.489242401106721,0.5339110232971711,0.7906967707739965,0.003892183303833008,0.0007822513580322266
MLP Regressor,0.6174712999996501,0.5388676804873557,0.5921873868818355,0.12821602821350098,0.0001270771026611328
Random Forest Regressor,0.5509537439967374,0.563195719642861,0.6951622948327815,0.09146547317504883,0.0027451515197753906
Gradient Boosting Regressor,0.5582772287129516,0.5598220728297371,0.6838249094889888,0.04632973670959473,0.0003209114074707031
XGBoost Regressor,0.5326916081654298,0.5800262148813159,0.723433654594319,0.04149484634399414,0.0006699562072753906
AdaBoost Regressor,0.342980970337735,0.6080063104337906,1.017122067721925,0.04978823661804199,0.003278493881225586
Bagging Regressor,0.5500507449306444,0.5798643350685819,0.6965602151909293,0.015336036682128906,0.0010404586791992188
ExtraTrees Regressor,0.4960878386063481,0.5834373118794804,0.7800994437107895,0.06835794448852539,0.003094196319580078
HistGradientBoosting Regressor,0.579017631782442,0.5661799241929939,0.6517169785112966,0.05805802345275879,0.0010075569152832031
Stacking Regressor,0.5417252482849442,0.5793916697933778,0.7094488013365078,0.0704202651977539,0.0006103515625
Voting Regressor,0.5674718732508254,0.5630379421061487,0.6695908075191607,0.06100201606750488,0.0010151863098144531
Custom MLP,0.476500230153164,0.5674197228569403,0.8104227492958215,0.5043661594390869,1.430511474609375e-05
FONN1,0.3716202134718559,0.5747309016822759,0.9727860517475599,6.371623992919922,0.0005545616149902344
Tree-based Predictions (FONN1),0.1746538640558155,0.6507309929718395,1.2777069315775775,0.0061643123626708984,0.0007908344268798828
TREENN1,0.4502329250782442,0.5803358353736878,0.851086800784587,1.297656774520874,8.320808410644531e-05
Tree-based Predictions (TREENN1),0.22537798814475418,0.6379152958492365,1.1991816170166802,0.0006923675537109375,0.00019431114196777344
FONN2,0.28596007833509995,0.64339511634502,1.105395321552764,3.4781670570373535,0.0006186962127685547
Tree-based Predictions (FONN2),0.1746538640558155,0.6507309929718395,1.2777069315775775,0.007106304168701172,0.0010519027709960938
TREENN2,0.11866215657723178,0.6623248597383354,1.3643869190890094,0.9306614398956299,7.653236389160156e-05
Tree-based Predictions (TREENN2),0.22537798814475418,0.6379152958492365,1.1991816170166802,0.0006344318389892578,0.0001697540283203125
Ensemble of 10 Trees,0.1746538640558155,0.6507309929718395,1.2777069315775775,0.005522727966308594,0.0008022785186767578
