,R² Score,MAE,MSE,Train Time (s),Comp Time (s)
Linear Regression,0.6427776491723888,0.43760664396209265,0.37585783658453575,0.0004448890686035156,7.319450378417969e-05
Ridge Regression,0.642544601926275,0.43743624493736916,0.37610304138077366,0.000354766845703125,4.887580871582031e-05
Lasso Regression,-8.685701217969743e-05,0.6968705270369684,1.0522591366479852,0.00034689903259277344,5.507469177246094e-05
ElasticNet Regression,0.24668762439921332,0.5812150608550154,0.7926109861538483,0.0003235340118408203,5.2928924560546875e-05
Bayesian Ridge Regression,0.6420280285802704,0.43707156090352006,0.3766465631951749,0.000701904296875,5.7220458984375e-05
ARD Regression,0.6432529199266968,0.4372060223330918,0.3753577720250472,0.0012142658233642578,7.152557373046875e-05
SGD Regressor,0.6411298065396404,0.4365890421142507,0.37759164345731866,0.0003771781921386719,5.14984130859375e-05
Passive Aggressive Regressor,-0.31068603825700136,0.9382759199388291,1.3790615778646151,0.00036454200744628906,4.839897155761719e-05
Support Vector Regression,0.600217943753705,0.42890631773745613,0.4206377860117798,0.0021431446075439453,0.00046324729919433594
MLP Regressor,0.6512242414181839,0.3961387131034415,0.3669706046387712,0.13561487197875977,0.0001633167266845703
Random Forest Regressor,0.6372246468443652,0.39657409821547507,0.3817005265414333,0.10968208312988281,0.0027174949645996094
Gradient Boosting Regressor,0.628266172764442,0.4093308318483425,0.39112634404411106,0.04570937156677246,0.0002574920654296875
XGBoost Regressor,0.5532999622933665,0.4670121041401929,0.4700033729291175,0.07207226753234863,0.0008308887481689453
AdaBoost Regressor,0.5636269928144036,0.4409801196113061,0.45913760447709634,0.05533862113952637,0.004301786422729492
Bagging Regressor,0.5948678458135509,0.40917625802374524,0.4262669865157317,0.01939535140991211,0.0020558834075927734
ExtraTrees Regressor,0.6076984400585624,0.41840426918182383,0.4127670490570275,0.0648796558380127,0.0031342506408691406
HistGradientBoosting Regressor,0.5776022376278589,0.43358925068380183,0.4444333026069723,0.06041240692138672,0.0008649826049804688
Stacking Regressor,0.6434891491843445,0.3831807531719568,0.37510921921889784,0.06186389923095703,0.0006122589111328125
Voting Regressor,0.6609998904016557,0.3749811214431527,0.3566849820576951,0.07312703132629395,0.0009236335754394531
Custom MLP,0.6377414476788554,0.42085416627527295,0.38115676537098436,0.5286762714385986,1.7642974853515625e-05
FONN1,0.4805147126711449,0.5191268967606228,0.5465856651482165,6.42670464515686,0.0004761219024658203
Tree-based Predictions (FONN1),0.6068272150484364,0.40622854617929005,0.41368372391436964,0.005774497985839844,0.0006966590881347656
TREENN1,0.5551954662349776,0.45781282967375575,0.46800898481459774,1.2977123260498047,8.320808410644531e-05
Tree-based Predictions (TREENN1),0.5961076753904044,0.4185240768729874,0.42496247782132873,0.0007138252258300781,0.00018358230590820312
FONN2,0.6214848429326714,0.40335051197148614,0.3982614405850481,3.5364482402801514,0.0006489753723144531
Tree-based Predictions (FONN2),0.6068272150484364,0.40622854617929005,0.41368372391436964,0.007372856140136719,0.0009474754333496094
TREENN2,0.5762371049763169,0.4624381136863633,0.4458696511553506,1.0172841548919678,9.560585021972656e-05
Tree-based Predictions (TREENN2),0.5961076753904044,0.4185240768729874,0.42496247782132873,0.0007843971252441406,0.00019669532775878906
Ensemble of 10 Trees,0.6068272150484364,0.40622854617929005,0.41368372391436964,0.007238149642944336,0.0008966922760009766
