model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score
Tree,0.04125165939331055,0.012697172164916993,-8.466773438454958,-33.614328868180934
Ensemble_sk 10,0.15853896141052246,0.016744422912597656,-2.0458273237990463,-21.463394144826246
MLP_sk 10,4.693227481842041,0.002010202407836914,-30.635811180045316,-41.27558792991812
FONN1_sk 5 10,4.400423765182495,0.009368705749511718,-2.597804179010813,-23.21602107407376
FONN2_sk 5 10,4.533895254135132,0.005015659332275391,-51.268314362694696,-59.27104003474383
MLP_sk_target_standard 10,5.236404657363892,0.014810943603515625,-8.049429740210504,-22.990290449269885
FONN1_sk_target_standard 5 10,2.3437557220458984,0.004982471466064453,-2.455117591024525,-22.666991001728142
FONN2_sk_target_standard 5 10,13.064715909957886,0.0076792240142822266,-12.8412040687974,-29.60458320235956
FONN1_TrANN 5 10,11.258816242218018,0.006813859939575196,-65.71245409114962,-80.1213746634823
FONN2_TrANN 5 10,6.640584945678711,0.002724170684814453,-6.722251991304215,-30.358438021826647
FONN3_TrANN 5 10,8.046794176101685,0.026003932952880858,-42.343885868398864,-69.59138431749479
TREENN1_TrANN 10,3.6154918670654297,0.002511930465698242,-68.19850874102124,-85.41468917054236
TREENN2_TrANN 10,2.8808402538299562,0.0020787715911865234,-5.952300681010579,-37.83966270222844
TREENN3_TrANN 10,3.0551836490631104,0.004587364196777344,-59.13675218032436,-72.59757681066131
