model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score,mse
Tree,0.024712896347045897,0.0025066852569580076,-7.211648502628042,-35.897420500873615,7.848379446640315
Ensemble_sk 5,0.09821920394897461,0.013317155838012695,-2.589121778266716,-22.472280100951274,2.686714624505929
MLP_sk_drop_identity 5,7.954344320297241,0.025468921661376952,-37.022195546006905,-45.6553581991146,30.821949207662207
FONN1_sk_drop_identity 5 5,7.887600040435791,0.018397045135498048,-2.333050119743021,-24.991745057828822,3.123312407612064
FONN2_sk_drop_identity 5 5,6.823501968383789,0.006527471542358399,-41.702869885824036,-54.09737181317,56.97261306733544
TREENN1_sk_drop_identity 5 5,6.394064807891846,0.018628025054931642,-6.8051013437614785,-28.914369675630116,6.060352717083358
TREENN2_sk_drop_identity 5 5,4.771338653564453,0.011885976791381836,-40.070918941137236,-61.107711401187245,39.54133779556806
FONN1_TrANN_drop_identity 5 5,9.018386030197144,0.013086223602294922,-78.80788048004796,-81.71049261366508,77.73590554269792
FONN2_TrANN_drop_identity 5 5,7.771147203445435,0.007890415191650391,-6.827905690522509,-31.76689569834438,7.231732160050005
FONN3_TrANN_drop_identity 5 5,8.931350755691529,0.02004218101501465,-44.85303001519943,-62.694268540474,48.599029482833195
TREENN1_TrANN_drop_identity 5,3.530899429321289,0.008567047119140626,-76.47004344913708,-84.42634055417363,77.30121156175029
TREENN2_TrANN_drop_identity 5,3.151758337020874,0.006697702407836914,-6.400074527220065,-36.12567368333977,6.79073059430973
TREENN3_TrANN_drop_identity 5,3.3854885578155516,0.007915687561035157,-62.357124011144926,-72.21607261237361,67.80402711231481
MLP_sk_drop_standard 5,5.119474792480469,0.017202329635620118,-11.590109171601013,-26.673351350793517,9.868498692342163
FONN1_sk_drop_standard 5 5,4.153817796707154,0.02037205696105957,-2.62550246517731,-20.645793299128986,1.8948320574384905
FONN2_sk_drop_standard 5 5,9.695518636703492,0.005713605880737304,-11.587606297319194,-25.13584667263951,10.192738475955892
TREENN1_sk_drop_standard 5 5,2.4445588111877443,0.003629255294799805,-7.3868332316695415,-26.957888535720674,9.241856839370518
TREENN2_sk_drop_standard 5 5,4.702664709091186,0.016167879104614258,-13.277546294984756,-24.878673632749646,11.823440922985405
FONN1_TrANN_drop_standard 5 5,9.580849885940552,0.021390438079833984,-44.409869426354994,-58.5158970124093,41.28516973574325
FONN2_TrANN_drop_standard 5 5,8.15592851638794,0.011373090744018554,-5.621123481717302,-28.847556984838615,6.169136901034506
FONN3_TrANN_drop_standard 5 5,9.33968448638916,0.019833850860595702,-32.416643857422194,-45.18503807598881,28.70216412994552
TREENN1_TrANN_drop_standard 5,3.8940219402313234,0.006165266036987305,-46.365251133885096,-66.48251842020684,53.48251567332442
TREENN2_TrANN_drop_standard 5,3.6222558975219727,0.01845273971557617,-5.151888696164326,-32.03206395556667,5.745266752984355
TREENN3_TrANN_drop_standard 5,3.4486048221588135,0.007570934295654297,-44.83159468375779,-60.98381852963256,37.277555145637685
MLP_sk_target_identity 5,5.63526930809021,0.01253371238708496,-82.55589530327914,-36.18852105641348,24.44826808328751
FONN1_sk_target_identity 5 5,4.919086551666259,0.03070206642150879,-3.0481965502828956,-22.44281880397779,3.5510080427673936
FONN2_sk_target_identity 5 5,7.247139120101929,0.006436634063720703,-40.74368295528821,-59.304502009313055,31.84732566989768
TREENN1_sk_target_identity 5 5,4.714607429504395,0.02628774642944336,-8.676811162113639,-32.16475315054559,5.380078024148582
TREENN2_sk_target_identity 5 5,7.619141054153443,0.015289402008056641,-49.028344067142385,-55.75709295493992,73.8808023809182
FONN1_TrANN_target_identity 5 5,9.824753618240356,0.015001916885375976,-73.3548518089311,-74.92445358795797,68.85911228024808
FONN2_TrANN_target_identity 5 5,7.8466204643249515,0.009853076934814454,-6.650998613168208,-32.590189254432225,7.276616025949048
FONN3_TrANN_target_identity 5 5,8.88601894378662,0.019439697265625,-41.948301860709,-62.15240996830455,46.63539748248323
TREENN1_TrANN_target_identity 5,3.746460771560669,0.01769261360168457,-72.33653000933559,-79.73118904414325,75.58856857806617
TREENN2_TrANN_target_identity 5,3.271774244308472,0.01423487663269043,-6.13376780722553,-37.300377072515275,6.987377977890921
TREENN3_TrANN_target_identity 5,3.687276840209961,0.010556221008300781,-64.59982976787366,-74.9654669696172,64.04911031749276
MLP_sk_target_standard 5,3.328309106826782,0.018014812469482423,-12.402480503299483,-28.648872915156396,13.021670754577539
FONN1_sk_target_standard 5 5,3.4905025959014893,0.027363348007202148,-2.0514723966954747,-21.92098353155274,2.9563183447874706
FONN2_sk_target_standard 5 5,11.707800483703613,0.007272768020629883,-11.14211955055585,-25.669872373764623,17.19954066568917
TREENN1_sk_target_standard 5 5,1.7403127670288085,0.012849855422973632,-6.841370779861691,-30.09035806347153,5.268274607658283
TREENN2_sk_target_standard 5 5,5.247215986251831,0.008829450607299805,-14.609538356998808,-23.692116860179787,10.092925908040995
FONN1_TrANN_target_standard 5 5,10.460983800888062,0.022263002395629884,-45.9747802732846,-53.799624901003085,40.06544619705289
FONN2_TrANN_target_standard 5 5,8.571194839477538,0.022585201263427734,-5.404395878700458,-29.773534513430132,6.3090970793250545
FONN3_TrANN_target_standard 5 5,9.59290041923523,0.013235902786254883,-35.26456030977378,-49.380257215140894,29.95084356953902
TREENN1_TrANN_target_standard 5,3.7767831802368166,0.004548549652099609,-48.88577342687913,-57.470449244808925,41.36827651071361
TREENN2_TrANN_target_standard 5,3.727551317214966,0.009116220474243163,-5.138488956209561,-33.09929931064362,5.463598857364795
TREENN3_TrANN_target_standard 5,3.5275094509124756,0.007783174514770508,-44.06492117997709,-52.169911027078285,56.77930908569894
Ensemble_sk 10,0.17175955772399903,0.030023479461669923,-2.1710273830827527,-19.534573921568626,2.3640201581027664
MLP_sk_drop_identity 10,5.584926128387451,0.011845636367797851,-24.528616938156226,-36.841047481423686,34.73425446348762
FONN1_sk_drop_identity 5 10,7.0132973194122314,0.010528850555419921,-2.5322795611896547,-23.980556242235238,3.3976998652573958
FONN2_sk_drop_identity 5 10,5.778249883651734,0.011780071258544921,-52.985650375850376,-51.91369520849785,46.627045805832694
TREENN1_sk_drop_identity 5 10,6.7050432682037355,0.00679173469543457,-9.237609409011736,-26.127499435853302,10.580046960817828
TREENN2_sk_drop_identity 5 10,5.979910278320313,0.009279632568359375,-30.281745443793938,-39.926908970385696,106.70300509387508
FONN1_TrANN_drop_identity 5 10,9.315135383605957,0.029334354400634765,-69.98592765116878,-72.62526729636572,78.0633730146925
FONN2_TrANN_drop_identity 5 10,8.011131858825683,0.018355846405029297,-7.740024374894115,-28.322537688252567,8.369336988336158
FONN3_TrANN_drop_identity 5 10,9.050091123580932,0.010802745819091797,-37.202781962074326,-56.15424022936937,42.771930101757626
TREENN1_TrANN_drop_identity 10,3.5897000312805174,0.006625747680664063,-68.36841298282866,-78.79681553664787,76.77530099432346
TREENN2_TrANN_drop_identity 10,3.878739023208618,0.005734109878540039,-6.01011996469836,-37.32030128709961,6.930154560727357
TREENN3_TrANN_drop_identity 10,3.39695520401001,0.010665082931518554,-54.47024416861201,-62.6339364643577,55.43261632450777
MLP_sk_drop_standard 10,3.5976674556732178,0.017489814758300783,-9.25615277279572,-20.92801716462548,8.943283096387885
FONN1_sk_drop_standard 5 10,2.1680351734161376,0.026662063598632813,-2.5346534933810223,-22.383668335500005,2.4238406200562097
FONN2_sk_drop_standard 5 10,8.517017316818237,0.015969133377075194,-11.352057636912173,-22.626464578157947,15.014846535349358
TREENN1_sk_drop_standard 5 10,1.4641963005065919,0.006940984725952148,-6.8780541860676125,-29.934385898852753,4.563270349009518
TREENN2_sk_drop_standard 5 10,7.472155904769897,0.015321302413940429,-10.140358679796707,-24.533917667810083,11.593681232011631
FONN1_TrANN_drop_standard 5 10,9.537823581695557,0.021660423278808592,-12.063217834576175,-43.841960975624815,11.079918272101136
