model,mse_StoreWeekSalesmargbutr_6001821,mse_StoreWeekSalesmargbutr_648368,mse_StoreWeekSalesmargbutr_279300,mse_StoreWeekSalesmargbutr_400003,mse_StoreWeekSalesmargbutr_270862,mse_StoreWeekSalesmargbutr_231720,mse_StoreWeekSalesmargbutr_252570,mse_StoreWeekSalesmargbutr_659827,mse_StoreWeekSalesmargbutr_241565,mse_StoreWeekSalesmargbutr_237277,mse_StoreWeekSalesmargbutr_291276,mse_StoreWeekSalesmargbutr_273920,mse_StoreWeekSalesmargbutr_232633,mse_StoreWeekSalesmargbutr_233246,mse_StoreWeekSalesmargbutr_532639,mse_StoreWeekSalesmargbutr_533864,mse_StoreWeekSaleslaundet_6001821,mse_StoreWeekSaleslaundet_648368,mse_StoreWeekSaleslaundet_279300,mse_StoreWeekSaleslaundet_400003,mse_StoreWeekSaleslaundet_270862,mse_StoreWeekSaleslaundet_231720,mse_StoreWeekSaleslaundet_252570,mse_StoreWeekSaleslaundet_659827,mse_StoreWeekSaleslaundet_241565,mse_StoreWeekSaleslaundet_237277,mse_StoreWeekSaleslaundet_291276,mse_StoreWeekSaleslaundet_273920,mse_StoreWeekSaleslaundet_232633,mse_StoreWeekSaleslaundet_233246,mse_StoreWeekSaleslaundet_532639,mse_StoreWeekSaleslaundet_533864,Mean,Stddev
Tree,25.0,20.0,25.0,25.0,25.0,23.0,21.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,21.0,25.0,25.0,25.0,25.0,25.0,20.0,25.0,25.0,25.0,24.34375,1.536845848252297
Ensemble 5,8.0,5.0,15.0,18.0,13.0,2.0,11.0,15.0,21.0,4.0,15.0,9.0,14.0,18.0,10.0,15.0,11.0,15.0,22.0,17.0,5.0,8.0,16.0,20.0,17.0,17.0,15.0,18.0,23.0,17.0,21.0,15.0,14.0625,5.423589455392541
MLP 5,7.0,4.0,3.0,6.0,21.0,24.0,9.0,6.0,9.0,18.0,9.0,8.0,7.0,8.0,5.0,13.0,16.0,16.0,4.0,2.0,22.0,25.0,12.0,14.0,14.0,21.0,12.0,6.0,14.0,9.0,9.0,9.0,11.3125,6.331882969187276
FONN1 5 5,18.0,16.0,24.0,17.0,19.0,8.0,17.0,24.0,22.0,17.0,22.0,19.0,16.0,16.0,21.0,22.0,22.0,17.0,24.0,23.0,18.0,7.0,15.0,15.0,19.0,18.0,23.0,24.0,22.0,20.0,24.0,19.0,19.0,4.21211769587116
FONN2 5 5,13.0,25.0,20.0,13.0,9.0,20.0,22.0,21.0,15.0,24.0,11.0,13.0,24.0,9.0,12.0,18.0,23.0,7.0,12.0,14.0,8.0,19.0,13.0,13.0,9.0,11.0,11.0,9.0,2.0,1.0,11.0,22.0,14.1875,6.321685667400693
TREENN1 5,24.0,24.0,23.0,20.0,24.0,15.0,20.0,14.0,20.0,19.0,24.0,21.0,19.0,22.0,19.0,24.0,20.0,18.0,18.0,16.0,9.0,13.0,17.0,19.0,18.0,13.0,17.0,16.0,9.0,14.0,18.0,13.0,18.125,4.163977626911479
TREENN2 5,10.0,19.0,1.0,8.0,14.0,25.0,25.0,9.0,3.0,20.0,6.0,12.0,20.0,2.0,23.0,12.0,10.0,11.0,2.0,8.0,24.0,21.0,14.0,24.0,13.0,10.0,6.0,11.0,13.0,2.0,13.0,11.0,12.5625,7.264307351036476
Ensemble 10,17.0,11.0,10.0,7.0,15.0,4.0,3.0,16.0,14.0,1.0,18.0,10.0,9.0,15.0,7.0,19.0,9.0,13.0,17.0,13.0,2.0,9.0,3.0,8.0,15.0,1.0,16.0,17.0,11.0,18.0,14.0,16.0,11.1875,5.479801621085531
MLP 10,6.0,14.0,11.0,5.0,2.0,14.0,12.0,19.0,8.0,5.0,10.0,22.0,15.0,12.0,2.0,1.0,8.0,5.0,3.0,12.0,16.0,12.0,5.0,10.0,5.0,20.0,3.0,5.0,24.0,13.0,6.0,6.0,9.71875,6.091953312468039
FONN1 5 10,16.0,22.0,17.0,22.0,23.0,21.0,18.0,23.0,18.0,15.0,23.0,16.0,21.0,24.0,11.0,21.0,24.0,22.0,21.0,22.0,4.0,5.0,23.0,11.0,23.0,23.0,22.0,21.0,19.0,24.0,19.0,23.0,19.28125,5.200709473933154
