model,mean_fit_time,mean_score_time,mean_train_score,mean_test_score
Tree,0.018395042419433592,0.0034774303436279296,-7.094075846473535,-33.29522869345758
Ensemble_sk 10,0.08310089111328126,0.005850458145141601,-1.9638375473658478,-21.273807260726066
MLP_sk 10,3.1350530624389648,0.0025110244750976562,-25.956879438190533,-36.37627948073803
FONN1_sk 5 10,2.711045503616333,0.007343769073486328,-2.304755758659778,-25.342697729194267
FONN2_sk 5 10,4.403427600860596,0.006354618072509766,-53.207167544197375,-78.91941448510497
MLP_sk_target_standard 10,3.5693366527557373,0.011095762252807617,-9.409129270594782,-26.6436789912883
FONN1_sk_target_standard 5 10,0.88560791015625,0.027121257781982423,-3.069382196706537,-24.392870689955704
FONN2_sk_target_standard 5 10,5.959323692321777,0.015998315811157227,-15.097731914288445,-33.741059019801256
FONN1_TrANN 5 10,4.933252763748169,0.010852289199829102,-73.70945425411682,-73.7945730196678
FONN2_TrANN 5 10,4.423841857910157,0.01344923973083496,-8.0476997821524,-30.700626959191766
